Artist,Museum,Gender,Ethnicity,Location,Year
Karl Blechen,Detroit Institute of Arts,man,white,Europe,1800.0
Lucienne Bloch,Detroit Institute of Arts,woman,white,,1910.0
Abraham Bloemaert,Detroit Institute of Arts,man,white,Europe,1570.0
Helaine D. Blum,Detroit Institute of Arts,woman,white,North America,1910.0
Mel Bochner,Detroit Institute of Arts,man,white,North America,1940.0
H. Bodnar,Detroit Institute of Arts,,,Europe,
Aaron Bohrod,Detroit Institute of Arts,man,white,North America,1910.0
Jean Jacques de Boissieu,Detroit Institute of Arts,man,white,Europe,1740.0
Ferdinand Bol,Detroit Institute of Arts,man,white,Europe,1620.0
Antoine Borel,Detroit Institute of Arts,man,white,Europe,1740.0
FranA?ois Boucher,Detroit Institute of Arts,man,white,Europe,
Matthew Boulton,Detroit Institute of Arts,man,white,Europe,1730.0
Emile Antoine Bourdelle,Detroit Institute of Arts,,white,Europe,1860.0
Margaret Bourke-White,Detroit Institute of Arts,woman,white,North America,1900.0
Samuel Bourne,Detroit Institute of Arts,man,white,Europe,1830.0
Pieter Bout,Detroit Institute of Arts,man,white,Europe,
John Boydell,Detroit Institute of Arts,man,white,Europe,1720.0
Alvah Bradish,Detroit Institute of Arts,man,,North America,
Georges Braque,Detroit Institute of Arts,man,white,Europe,1880.0
Ephraim Brasher,Detroit Institute of Arts,man,,North America,1740.0
Robert Breer,Detroit Institute of Arts,man,white,North America,1930.0
Theodore Brenson,Detroit Institute of Arts,man,white,North America,1890.0
Giovanni Antonio da Brescia,Detroit Institute of Arts,,white,Europe,1460.0
Claude Briceau,Detroit Institute of Arts,man,white,Europe,
Paul Bril,Detroit Institute of Arts,man,white,,1550.0
Arthur John Trevor Briscoe,Detroit Institute of Arts,man,white,Europe,1870.0
W. de Broen,Detroit Institute of Arts,man,white,,
Hans Brosamer,Detroit Institute of Arts,man,,Europe,
Henry Kirke Brown,Detroit Institute of Arts,man,,North America,1810.0
Nettie Yanoff Brudner,Detroit Institute of Arts,,,North America,
Francis BruguiA?re,Detroit Institute of Arts,man,white,North America,1880.0
George de Forest Brush,Detroit Institute of Arts,man,white,North America,1860.0
Hendrik van der Burch,Detroit Institute of Arts,man,white,Europe,1630.0
William Burges,Detroit Institute of Arts,man,white,Europe,1830.0
John Burt,Detroit Institute of Arts,man,,,
James Lee Byars,Detroit Institute of Arts,man,white,North America,1930.0
Adrian van der Cabel,Detroit Institute of Arts,man,white,Europe,1630.0
Giuseppe Caletti,Detroit Institute of Arts,man,white,Europe,1600.0
Tino di Camaino,Detroit Institute of Arts,man,white,Europe,1280.0
Giovanni Domenico Campiglia,Detroit Institute of Arts,man,white,Europe,1690.0
Remigio Cantagallina,Detroit Institute of Arts,man,white,Europe,1580.0
Suzanne Caporael,Detroit Institute of Arts,woman,white,North America,1950.0
Michelangelo Merisi da Caravaggio,Detroit Institute of Arts,man,white,Europe,1570.0
Martin Carlin,Detroit Institute of Arts,man,white,Europe,1730.0
Anthony Caro,Detroit Institute of Arts,man,white,Europe,1920.0
Carolus-Duran,Detroit Institute of Arts,man,white,Europe,1840.0
Jean Baptiste Carpeaux,Detroit Institute of Arts,man,white,Europe,1830.0
Rosalba Giovanna Carriera,Detroit Institute of Arts,woman,white,Europe,1680.0
RamA3n Carulla,Detroit Institute of Arts,man,hispanic,Latin America and the Caribbean,1940.0
Casimir,Detroit Institute of Arts,man,,,1930.0
Gustave EugA?ne Castan,Detroit Institute of Arts,man,white,Europe,1820.0
George Catlin,Detroit Institute of Arts,man,white,North America,1800.0
Adrien-Louis-Marie Cavelier,Detroit Institute of Arts,man,white,Europe,1780.0
Henri Michel Antoine Chapu,Detroit Institute of Arts,man,white,Europe,1830.0
Gianbettino Cignaroli,Detroit Institute of Arts,man,white,Europe,1710.0
Charles Louis ClACrisseau,Detroit Institute of Arts,man,,,
Joseph Clark,Detroit Institute of Arts,man,white,,1830.0
Wayne L. Claxton,Detroit Institute of Arts,man,,North America,1900.0
Auguste Clot,Detroit Institute of Arts,man,white,Europe,1860.0
John Cluet,Detroit Institute of Arts,,,,
Alvin Langdon Coburn,Detroit Institute of Arts,man,white,North America,1880.0
Eleanor Coen,Detroit Institute of Arts,,,North America,1920.0
Homer Cooyama,Detroit Institute of Arts,man,,North America,
John Stephens Coppin,Detroit Institute of Arts,man,white,North America,1900.0
Jon Corbino,Detroit Institute of Arts,man,white,Europe,1900.0
Le Corbusier,Detroit Institute of Arts,man,white,Europe,1890.0
Antoine Toussaint Cornailles,Detroit Institute of Arts,man,white,Europe,
Dennis Corrigan,Detroit Institute of Arts,man,white,North America,1940.0
Helen Ciesla Covensky,Detroit Institute of Arts,woman,white,Europe,1920.0
Giovanni de Fondulis da Crema,Detroit Institute of Arts,,white,Europe,
Luigi Crespi,Detroit Institute of Arts,man,white,Europe,1710.0
J. Francis Criss,Detroit Institute of Arts,man,,,
John Crome,Detroit Institute of Arts,man,,Europe,1770.0
Charles Culver,Detroit Institute of Arts,man,white,North America,1910.0
Mary Cummings,Detroit Institute of Arts,woman,,North America,
Bernadine Custer,Detroit Institute of Arts,,white,North America,1900.0
Benjamin Gerritsz Cuyp,Detroit Institute of Arts,man,white,Europe,1610.0
William Daniell,Detroit Institute of Arts,man,white,Europe,1770.0
Henri Pierre Danloux,Detroit Institute of Arts,man,white,Europe,1750.0
HonorAC Daumier,Detroit Institute of Arts,man,white,Europe,
Peter David,Detroit Institute of Arts,man,white,North America,1960.0
Maxwell Davis,Detroit Institute of Arts,man,white,North America,
Roger P. Davis,Detroit Institute of Arts,man,,,
Thomas Day,Detroit Institute of Arts,man,,,
Walter E. Deaves,Detroit Institute of Arts,man,,North America,1850.0
Philibert Louis Debucourt,Detroit Institute of Arts,man,white,Europe,1760.0
Lindsey Decker,Detroit Institute of Arts,,,North America,1920.0
Auguste DelActre,Detroit Institute of Arts,man,white,Europe,1820.0
C. Edmund Delbos,Detroit Institute of Arts,man,white,,1880.0
Maurice Delcourt,Detroit Institute of Arts,man,white,Europe,1880.0
Charles Edouard Delort,Detroit Institute of Arts,man,white,Europe,1840.0
Francois Seraphin Delpech,Detroit Institute of Arts,man,white,Europe,1780.0
Mary Jane Derby,Detroit Institute of Arts,woman,white,,1810.0
Robert Dick,Detroit Institute of Arts,man,white,North America,
Taxile Doat,Detroit Institute of Arts,man,white,Europe,1850.0
Carlo Dolci,Detroit Institute of Arts,man,white,Europe,1620.0
Murray A. Douglas,Detroit Institute of Arts,man,,,
Alfred Drury,Detroit Institute of Arts,man,white,Europe,1860.0
Raoul Dufy,Detroit Institute of Arts,man,white,Europe,1880.0
Louis Dulongpre,Detroit Institute of Arts,man,white,,1760.0
Laszlo Dus,Detroit Institute of Arts,man,white,Europe,1940.0
Jay Dusard,Detroit Institute of Arts,man,white,North America,1940.0
Pierre Duval-Lecamus,Detroit Institute of Arts,man,white,Europe,1790.0
Veuve Ferdinand Duvinage,Detroit Institute of Arts,man,white,Europe,
Henry Edridge,Detroit Institute of Arts,man,white,Europe,1770.0
Melvin Edwards,Detroit Institute of Arts,man,black,North America,1940.0
William Maw Egley,Detroit Institute of Arts,man,white,Europe,1830.0
Jacob Eichholtz,Detroit Institute of Arts,man,white,North America,1780.0
Pieter Bruegel the Elder,Detroit Institute of Arts,man,white,Europe,1520.0
Dale Eldred,Detroit Institute of Arts,man,,North America,1930.0
Charles Loring Elliott,Detroit Institute of Arts,,white,North America,1810.0
William Elliott,Detroit Institute of Arts,man,white,Europe,1730.0
Erasmus Ritter von Engert,Detroit Institute of Arts,man,,,1800.0
Richard Dickran Eshkanian,Detroit Institute of Arts,man,,,1940.0
Frederick H. Evans,Detroit Institute of Arts,man,white,Europe,1850.0
Angiolo Falcini,Detroit Institute of Arts,man,white,Europe,
Isabelle B. Famiglietti,Detroit Institute of Arts,woman,,,
Thomas Farren,Detroit Institute of Arts,man,white,Europe,
Charles E. Feinberg,Detroit Institute of Arts,man,,North America,
Lyonel Feininger,Detroit Institute of Arts,man,white,North America,1870.0
Arthur Fellig,Detroit Institute of Arts,man,white,Europe,1900.0
Herbert Ferber,Detroit Institute of Arts,man,white,North America,1910.0
Domenico Feti,Detroit Institute of Arts,man,white,Europe,1590.0
Ernest Fiene,Detroit Institute of Arts,man,white,,1890.0
Phillip Fike,Detroit Institute of Arts,man,,,1930.0
John Bernard Flannagan,Detroit Institute of Arts,man,white,North America,1900.0
Jean Jacques Flipart,Detroit Institute of Arts,man,white,Europe,1720.0
Henry Floury,Detroit Institute of Arts,man,white,Europe,1860.0
Richard E. Fluhr,Detroit Institute of Arts,,white,North America,1960.0
Donald Forbes,Detroit Institute of Arts,man,,,
Francesco Francia,Detroit Institute of Arts,man,white,Europe,
Don Freeman,Detroit Institute of Arts,man,white,North America,1910.0
Jared French,Detroit Institute of Arts,man,white,North America,1900.0
Arnold Friedman,Detroit Institute of Arts,man,other,North America,
Aline Fruhauf,Detroit Institute of Arts,woman,white,North America,1910.0
Master A. G.,Detroit Institute of Arts,man,white,Europe,
Henri Augustin Gambard,Detroit Institute of Arts,man,white,Europe,1820.0
Master of the Games,Detroit Institute of Arts,,,,
Ganku,Detroit Institute of Arts,man,asian,Asia and the Pacific,1750.0
Raoul du Gardier,Detroit Institute of Arts,,,Europe,1870.0
Paul Cesar Gariot,Detroit Institute of Arts,man,white,Europe,1810.0
Paul Gauguin,Detroit Institute of Arts,man,white,Europe,1850.0
Shoun Genkei,Detroit Institute of Arts,man,asian,Asia and the Pacific,
Abraham Genoels,Detroit Institute of Arts,man,white,Europe,1640.0
Artemisia Gentileschi,Detroit Institute of Arts,woman,white,Europe,1590.0
Orazio Gentileschi,Detroit Institute of Arts,,,Europe,1560.0
Lorenzo Ghiberti,Detroit Institute of Arts,man,white,Europe,1380.0
Corrado Giaquinto,Detroit Institute of Arts,man,white,Europe,1700.0
Peter J. Gilleran,Detroit Institute of Arts,man,white,North America,1920.0
William James Glackens,Detroit Institute of Arts,man,white,North America,1870.0
Bill Goldston,Detroit Institute of Arts,man,,North America,
Nancy Gordon,Detroit Institute of Arts,woman,,North America,
Wiktor Gorka,Detroit Institute of Arts,man,white,Europe,1920.0
Joseph Goto,Detroit Institute of Arts,man,other,,1920.0
Frederick Goulding,Detroit Institute of Arts,man,white,Europe,1840.0
Emmet Gowin,Detroit Institute of Arts,man,white,North America,1940.0
Tadeusz Grabowski,Detroit Institute of Arts,man,white,,
EugA?ne Samuel Grasset,Detroit Institute of Arts,man,,,
Basan Graveur,Detroit Institute of Arts,man,white,Europe,1720.0
William Greatbatch,Detroit Institute of Arts,man,white,Europe,1740.0
George T. Green,Detroit Institute of Arts,man,,North America,1940.0
Giovanni Greppi,Detroit Institute of Arts,man,white,Europe,1880.0
Armand Harold Griffith,Detroit Institute of Arts,man,white,North America,1860.0
Juan Gris,Detroit Institute of Arts,man,white,Europe,1890.0
Marcel Gromaire,Detroit Institute of Arts,man,,Europe,1890.0
Jeanne Grover,Detroit Institute of Arts,woman,white,North America,
Charles Paul Gruppe,Detroit Institute of Arts,man,white,North America,1860.0
Chen Gua,Detroit Institute of Arts,man,asian,Asia and the Pacific,1550.0
O. Louis Guglielmi,Detroit Institute of Arts,man,,,1910.0
Jeremiah Gurney,Detroit Institute of Arts,man,white,North America,1810.0
John Haberle,Detroit Institute of Arts,man,white,North America,1860.0
Samuel Halpert,Detroit Institute of Arts,man,white,Europe,1880.0
Philippe Halsman,Detroit Institute of Arts,man,white,,1910.0
Hamilton Hamilton,Detroit Institute of Arts,man,white,,1850.0
Bruce Harkness,Detroit Institute of Arts,man,white,,
George Coburn Harper,Detroit Institute of Arts,man,white,North America,1890.0
Birge Harrison,Detroit Institute of Arts,man,white,North America,1850.0
George Overbury Hart,Detroit Institute of Arts,man,,,1870.0
Hans Heinrich Ernst Hartung,Detroit Institute of Arts,man,white,Europe,1900.0
Isaac Scott Hathaway,Detroit Institute of Arts,man,,,1870.0
Elizabeth Hawes,Detroit Institute of Arts,woman,white,North America,1900.0
Martin Johnson Heade,Detroit Institute of Arts,man,white,North America,1820.0
Maerten van Heemskerck,Detroit Institute of Arts,man,white,Europe,1500.0
Louis Chretien de Heer,Detroit Institute of Arts,man,white,Europe,1760.0
John Hegarty,Detroit Institute of Arts,man,,,
Vivika Heino,Detroit Institute of Arts,woman,white,North America,1910.0
Michael Heizer,Detroit Institute of Arts,man,white,North America,1940.0
Robert Cozad Henri,Detroit Institute of Arts,man,white,North America,1860.0
Fred W. Henrich,Detroit Institute of Arts,man,,North America,1860.0
Anton Heyboer,Detroit Institute of Arts,man,white,Europe,1920.0
David Octavius Hill,Detroit Institute of Arts,man,white,Europe,1800.0
Thomas Hill,Detroit Institute of Arts,man,white,,1830.0
Rene Charles Edmond His,Detroit Institute of Arts,man,white,Europe,1880.0
Ferdinand Hodler,Detroit Institute of Arts,man,white,Europe,1850.0
Heinz Hoffman,Detroit Institute of Arts,man,white,,
Irwin Hollander,Detroit Institute of Arts,man,white,North America,1930.0
Samuel van Hoogstraten,Detroit Institute of Arts,man,white,Europe,1630.0
John Hoppner,Detroit Institute of Arts,man,white,Europe,1760.0
Jan van Huchtenburg,Detroit Institute of Arts,man,white,Europe,1650.0
Peter Hurd,Detroit Institute of Arts,man,white,North America,1900.0
Doug Huston,Detroit Institute of Arts,man,white,North America,
Jacob Boelen I,Detroit Institute of Arts,man,,,
Sebastien Igonet,Detroit Institute of Arts,man,white,,
Ralph Wood II,Detroit Institute of Arts,man,white,Europe,1750.0
Seifu Yohei III,Detroit Institute of Arts,man,asian,Asia and the Pacific,1850.0
George Inness,Detroit Institute of Arts,man,white,North America,1820.0
Georges Jacob,Detroit Institute of Arts,man,white,Europe,1740.0
Charles A?mile Jacque,Detroit Institute of Arts,man,white,Europe,1810.0
Eugene Jansson,Detroit Institute of Arts,man,white,Europe,1860.0
John Wesley Jarvis,Detroit Institute of Arts,man,white,,1780.0
J. Michallon le jeune,Detroit Institute of Arts,,white,Europe,
Patricia Johanson,Detroit Institute of Arts,woman,white,North America,1940.0
George A. Jones,Detroit Institute of Arts,man,white,,
Harriet Joor,Detroit Institute of Arts,woman,white,North America,1880.0
"John E. Dowell, Jr.",Detroit Institute of Arts,man,,North America,1940.0
"John Held, Jr.",Detroit Institute of Arts,man,white,North America,1890.0
"Rudolf Eickemeyer, Jr.",Detroit Institute of Arts,man,white,North America,1860.0
"William Ball, Jr.",Detroit Institute of Arts,man,,North America,
Joan Junyer,Detroit Institute of Arts,,,Europe,1900.0
Sheffield Harold Kagy,Detroit Institute of Arts,man,white,North America,1910.0
Kambe,Detroit Institute of Arts,,,,
James Karales,Detroit Institute of Arts,man,white,North America,1930.0
Sarkis Katchadourian,Detroit Institute of Arts,man,,Europe,1890.0
Alex Katz,Detroit Institute of Arts,man,white,North America,1930.0
Max Kaus,Detroit Institute of Arts,man,white,Europe,1890.0
Eberhart Keilhau,Detroit Institute of Arts,man,white,Europe,1620.0
Edward Windsor Kemble,Detroit Institute of Arts,man,white,North America,1860.0
William Sergeant Kendall,Detroit Institute of Arts,man,white,North America,1870.0
Florence Kent,Detroit Institute of Arts,,white,North America,
Rockwell Kent,Detroit Institute of Arts,man,white,North America,1880.0
William Kienbusch,Detroit Institute of Arts,man,white,North America,1910.0
Benjamin West Kilburn,Detroit Institute of Arts,man,white,North America,1830.0
Philipp Andreas Kilian,Detroit Institute of Arts,man,white,Europe,1710.0
Wolfgang Kilian,Detroit Institute of Arts,man,white,Europe,1580.0
Johann Gottlieb Kirchner,Detroit Institute of Arts,man,white,Europe,1710.0
Ignaz Sebastian Klauber,Detroit Institute of Arts,man,white,Europe,1750.0
Karl Knaths,Detroit Institute of Arts,man,white,North America,1890.0
Wouter Knijff,Detroit Institute of Arts,man,white,Europe,1600.0
Frantisek Kobliha,Detroit Institute of Arts,man,white,Europe,1880.0
Hon'ami Koetsu,Detroit Institute of Arts,man,asian,Asia and the Pacific,1560.0
Henry O. Korten,Detroit Institute of Arts,man,white,North America,1870.0
Saul Kovner,Detroit Institute of Arts,man,white,,1900.0
Irving Kriesberg,Detroit Institute of Arts,man,white,North America,1920.0
Ludwig Krug,Detroit Institute of Arts,man,white,Europe,
Nicholas Krushenick,Detroit Institute of Arts,man,white,,1930.0
Dominick Labino,Detroit Institute of Arts,man,white,North America,1910.0
Roger LacouriA?re,Detroit Institute of Arts,man,white,Europe,1890.0
Pieter de Laer,Detroit Institute of Arts,man,white,Europe,1600.0
Nicolas Lancret,Detroit Institute of Arts,man,white,Europe,1690.0
Mary Landi,Detroit Institute of Arts,,,,
Nicolas de Largillierre,Detroit Institute of Arts,man,white,Europe,1660.0
Marie Laurencin,Detroit Institute of Arts,woman,white,Europe,1880.0
Henri Laurens,Detroit Institute of Arts,man,white,Europe,1880.0
Arthur A. Lavinger,Detroit Institute of Arts,man,white,Europe,1900.0
Bernard Leach,Detroit Institute of Arts,man,white,Europe,1890.0
Thomas Burr Leavenworth,Detroit Institute of Arts,man,,North America,1820.0
Louis Hippolyte Lebas,Detroit Institute of Arts,man,white,Europe,1780.0
Jacques Leblonde,Detroit Institute of Arts,man,white,,1670.0
Antoine LeBrun,Detroit Institute of Arts,man,white,Europe,1700.0
Jorg Lederer,Detroit Institute of Arts,man,white,Europe,1470.0
Govaert van der Leeuw,Detroit Institute of Arts,man,white,Europe,1640.0
Lefman,Detroit Institute of Arts,man,,,
Andreas Leicher,Detroit Institute of Arts,man,,,
Sol LeWitt,Detroit Institute of Arts,man,white,North America,1930.0
Hendrik Jan Augustyn Leys,Detroit Institute of Arts,man,white,,1820.0
Max Liebermann,Detroit Institute of Arts,man,white,Europe,1850.0
Martin Eloi Lignereux,Detroit Institute of Arts,man,white,Europe,1750.0
Russell T. Limbach,Detroit Institute of Arts,man,white,North America,1900.0
Judy Linn,Detroit Institute of Arts,woman,white,North America,1950.0
Joan Livingstone,Detroit Institute of Arts,woman,white,North America,1950.0
Charles Wheeler Locke,Detroit Institute of Arts,man,white,North America,1900.0
Lorenzo Loli,Detroit Institute of Arts,man,white,Europe,1610.0
Vincent Longo,Detroit Institute of Arts,man,white,North America,1920.0
Carle Van Loo,Detroit Institute of Arts,man,white,Europe,1700.0
Adam Loofs,Detroit Institute of Arts,man,white,Europe,1640.0
Daniel Thourounde de Losques,Detroit Institute of Arts,man,white,Europe,1880.0
Alvin Loving,Detroit Institute of Arts,man,black,North America,1940.0
Maximilien Luce,Detroit Institute of Arts,man,white,Europe,1860.0
Anton Luchtenstein,Detroit Institute of Arts,man,white,Europe,
Ferdinand Jean Luigini,Detroit Institute of Arts,man,white,Europe,1870.0
Clinton D. MacKenzie,Detroit Institute of Arts,man,,North America,
Charles Rennie Mackintosh,Detroit Institute of Arts,man,white,Europe,
Dodge Macknight,Detroit Institute of Arts,man,white,North America,
Angus Maclise,Detroit Institute of Arts,man,white,North America,1940.0
Alexander Macomb,Detroit Institute of Arts,man,white,North America,1780.0
Mariano Salvador Maella,Detroit Institute of Arts,man,white,Europe,1740.0
Alessandro Magnasco,Detroit Institute of Arts,man,white,Europe,1670.0
George Washington Maher,Detroit Institute of Arts,man,white,,1860.0
Joann Maier,Detroit Institute of Arts,woman,white,North America,
A. Majewski,Detroit Institute of Arts,man,white,Europe,
Alfred Manessier,Detroit Institute of Arts,man,white,Europe,1910.0
Ignatius Cornelius Marinus,Detroit Institute of Arts,man,white,Europe,1600.0
Mariano JosAC MarA-a Bernardo Fortuny Marsal,Detroit Institute of Arts,man,,Europe,1840.0
Henri Jean Guillaume Martin,Detroit Institute of Arts,man,white,Europe,1860.0
A?tienne Martincourt,Detroit Institute of Arts,,white,Europe,
Ewald Matare,Detroit Institute of Arts,man,white,Europe,1890.0
Theodor Matham,Detroit Institute of Arts,man,white,Europe,1590.0
Ludovico Mattioli,Detroit Institute of Arts,man,white,Europe,1660.0
P. de Saint Maurice,Detroit Institute of Arts,man,,,
Giuseppe Mazzuoli,Detroit Institute of Arts,man,white,Europe,1640.0
James McArdell,Detroit Institute of Arts,man,white,Europe,1730.0
Henry Lee McFee,Detroit Institute of Arts,man,white,North America,1890.0
Daniel Meader,Detroit Institute of Arts,man,white,North America,1860.0
Adolph von Menzel,Detroit Institute of Arts,man,white,Europe,1820.0
Joel Meyerowitz,Detroit Institute of Arts,man,white,North America,1940.0
Addison Thomas Millar,Detroit Institute of Arts,man,white,North America,
George Minne,Detroit Institute of Arts,man,white,Europe,1870.0
Girolamo Mocetto,Detroit Institute of Arts,man,white,Europe,1470.0
Piet Mondrian,Detroit Institute of Arts,man,white,Europe,1870.0
Thomas Moran,Detroit Institute of Arts,man,white,,1840.0
George Morland,Detroit Institute of Arts,man,white,,1760.0
Liselotte Moser,Detroit Institute of Arts,,,,1910.0
Catherine Mousley,Detroit Institute of Arts,woman,white,North America,
Henry Siddons Mowbray,Detroit Institute of Arts,man,white,,1860.0
Jozef Mroszczak,Detroit Institute of Arts,man,white,Europe,1910.0
Zwelethu Mthethwa,Detroit Institute of Arts,man,black,Africa,1960.0
George A. Mueller,Detroit Institute of Arts,man,white,North America,1930.0
Rene Mulas,Detroit Institute of Arts,,,,
Johann Friedrich Wilhelm Muller,Detroit Institute of Arts,man,white,Europe,1780.0
Richard Muller,Detroit Institute of Arts,man,white,Europe,1870.0
Takahashi Munenao,Detroit Institute of Arts,man,asian,Asia and the Pacific,
Andrea da Murano,Detroit Institute of Arts,man,white,Europe,1460.0
John Murphy,Detroit Institute of Arts,man,white,Europe,
Charles Fairfax Murray,Detroit Institute of Arts,man,white,Europe,1850.0
Elizabeth Murray,Detroit Institute of Arts,woman,white,North America,1940.0
Zoran Antonio Music,Detroit Institute of Arts,man,white,Europe,1910.0
Jerome Myers,Detroit Institute of Arts,man,white,North America,1870.0
Kenji Nakahashi,Detroit Institute of Arts,man,asian,Asia and the Pacific,1950.0
Violet Nakashima,Detroit Institute of Arts,woman,,,1910.0
Hans Namuth,Detroit Institute of Arts,man,white,Europe,1920.0
Robert Nanteuil,Detroit Institute of Arts,man,white,Europe,1620.0
Thomas Nast,Detroit Institute of Arts,man,white,Europe,1840.0
Gertrud Natzler,Detroit Institute of Arts,,white,Europe,1910.0
Otto Natzler,Detroit Institute of Arts,man,white,Europe,1910.0
Ernst Wilhelm Nay,Detroit Institute of Arts,man,white,Europe,1900.0
Carlo Naya,Detroit Institute of Arts,man,white,Europe,1820.0
Arnold Newman,Detroit Institute of Arts,man,white,North America,1920.0
Henry Roderick Newman,Detroit Institute of Arts,man,white,North America,1840.0
Gordon Newton,Detroit Institute of Arts,man,white,,1950.0
Donald Nice,Detroit Institute of Arts,man,white,North America,1930.0
Louise Jansson Nobili,Detroit Institute of Arts,,,North America,1920.0
Alphonse Leon Noel,Detroit Institute of Arts,man,white,Europe,1810.0
Jean Claude Richard abbAC Saint Non,Detroit Institute of Arts,man,white,Europe,1730.0
Richard Nonas,Detroit Institute of Arts,man,white,North America,1940.0
Ann Nooney,Detroit Institute of Arts,woman,white,North America,1900.0
Jan van Noordt,Detroit Institute of Arts,,white,Europe,1620.0
William Norman,Detroit Institute of Arts,man,white,,1900.0
Elizabeth Olds,Detroit Institute of Arts,woman,white,North America,1900.0
Omin,Detroit Institute of Arts,,,,
Yoko Ono,Detroit Institute of Arts,woman,asian,Asia and the Pacific,1930.0
Jacob Cornelisz. van Oostsanen,Detroit Institute of Arts,man,white,Europe,1470.0
Dennis Oppenheim,Detroit Institute of Arts,man,white,North America,1940.0
Robert C. Osborn,Detroit Institute of Arts,man,white,North America,1900.0
Omori Oshikiyo,Detroit Institute of Arts,,,Asia and the Pacific,
Jean Baptiste Oudry,Detroit Institute of Arts,man,white,Europe,1690.0
Samuel Owen,Detroit Institute of Arts,man,white,,1770.0
Baltimore Painter,Detroit Institute of Arts,,,,
Samuel Palmer,Detroit Institute of Arts,man,white,Europe,1800.0
Eduardo Paolozzi,Detroit Institute of Arts,man,white,Europe,1920.0
Parmigianino,Detroit Institute of Arts,man,white,Europe,1500.0
James W. Parr,Detroit Institute of Arts,man,white,North America,1920.0
Victor Pasmore,Detroit Institute of Arts,man,white,Europe,1910.0
Simon van de Passe,Detroit Institute of Arts,man,white,Europe,1600.0
Francis Petrus Paulus,Detroit Institute of Arts,man,,North America,1860.0
Pietro Antonio Pazzi,Detroit Institute of Arts,man,white,Europe,1710.0
Tonita PeA?a,Detroit Institute of Arts,woman,,,1890.0
Narcisse Virgile Diaz de la Pena,Detroit Institute of Arts,man,white,Europe,1810.0
Roland Penrose,Detroit Institute of Arts,man,white,Europe,1900.0
Nicolas Perignon,Detroit Institute of Arts,man,white,Europe,1730.0
Mischa Petrow,Detroit Institute of Arts,,,,
Ellen Phelan,Detroit Institute of Arts,woman,white,North America,1940.0
Duncan Phyfe,Detroit Institute of Arts,man,white,,1770.0
Sano di Pietro,Detroit Institute of Arts,man,white,Europe,1410.0
"Torrigiano, Pietro",Detroit Institute of Arts,man,white,,1470.0
Charles Piquette,Detroit Institute of Arts,man,,North America,1810.0
Lendall Pitts,Detroit Institute of Arts,man,white,North America,1880.0
Nicolo Pizolo,Detroit Institute of Arts,man,white,Europe,1420.0
Nathaniel Plimer,Detroit Institute of Arts,man,white,Europe,1760.0
Paul Pontius,Detroit Institute of Arts,man,white,Europe,1600.0
Pootagook,Detroit Institute of Arts,,,,
Gugliemo della Porta,Detroit Institute of Arts,man,white,Europe,1520.0
Bruce Porter,Detroit Institute of Arts,man,white,North America,1860.0
George C. Potter,Detroit Institute of Arts,man,,,
Nicolas Poussin,Detroit Institute of Arts,man,white,Europe,1590.0
Bela Lyon Pratt,Detroit Institute of Arts,man,white,North America,1870.0
Levi Wells Prentice,Detroit Institute of Arts,man,white,North America,1850.0
Barthelemy Prieur,Detroit Institute of Arts,man,white,Europe,1540.0
Jacopo della Quercia,Detroit Institute of Arts,man,,,1370.0
Denis Auguste Marie Raffet,Detroit Institute of Arts,man,white,Europe,1800.0
Mel Ramos,Detroit Institute of Arts,man,white,North America,1940.0
Glenn Rand,Detroit Institute of Arts,man,,North America,1940.0
Burnet Reading,Detroit Institute of Arts,man,white,Europe,1750.0
Peter Reinicke,Detroit Institute of Arts,man,white,Europe,
Guido Reni,Detroit Institute of Arts,man,white,Europe,1580.0
Pierre-Auguste Renoir,Detroit Institute of Arts,man,white,Europe,1840.0
Jack von Reppert-Bismarck,Detroit Institute of Arts,,white,Europe,
Maria Reuter,Detroit Institute of Arts,,,,
Pierre Reymond,Detroit Institute of Arts,man,white,Europe,1510.0
Frederick Thomas Reynolds,Detroit Institute of Arts,man,white,Europe,1880.0
Joshua Reynolds,Detroit Institute of Arts,man,white,Europe,1720.0
Samuel Richards,Detroit Institute of Arts,man,white,,1850.0
Tilman Riemenschneider,Detroit Institute of Arts,man,white,Europe,1460.0
Bessie Rigrodsky,Detroit Institute of Arts,woman,,North America,1900.0
William S. Rimmer,Detroit Institute of Arts,man,white,,1820.0
Luca della Robbia,Detroit Institute of Arts,man,white,Europe,1400.0
Theodore Robinson,Detroit Institute of Arts,man,white,North America,1850.0
Hugo Rodriguez,Detroit Institute of Arts,,,Latin America and the Caribbean,
Virginia Roggenbuck,Detroit Institute of Arts,woman,,North America,
David Rohn,Detroit Institute of Arts,man,white,North America,1930.0
Johann Heinrich Roos,Detroit Institute of Arts,man,white,Europe,1630.0
Stephen T. Rose,Detroit Institute of Arts,man,white,North America,
Albert Rosenthal,Detroit Institute of Arts,man,white,North America,1860.0
Medardo Rosso,Detroit Institute of Arts,man,white,Europe,1860.0
Frank Roth,Detroit Institute of Arts,man,,North America,
Ker Xavier Roussel,Detroit Institute of Arts,man,white,,1870.0
Isaack van Ruisdael,Detroit Institute of Arts,man,,Europe,1600.0
Salomon Jacobsz van Ruysdael,Detroit Institute of Arts,man,white,Europe,1600.0
Nicolaes Ryckemans,Detroit Institute of Arts,man,,,
